phrase,stage,freq,success,success_rate
What specific benefits are you looking for?,Needs Analysis,92,0,0.0
What are your healthcare coverage needs?,Needs Analysis,57,1,0.01754386
Do you have any upcoming procedures that need coverage?,Needs Analysis,57,0,0.0
"Do you currently reside in a nursing home, assisted living, or long term care facility?",Needs Analysis,47,25,0.531914894
Are there any specific benefits you are looking for?,Needs Analysis,47,0,0.0
Do you make your own health care decisions?,Needs Analysis,38,15,0.394736842
Do you have any upcoming procedures?,Needs Analysis,33,0,0.0
"Do you currently live in a nursing home, long term care facility, or assisted living?",Needs Analysis,24,9,0.375
Do you have any upcoming healthcare needs?,Needs Analysis,23,0,0.0
Do you have someone who helps you make your health care decisions?,Needs Analysis,22,5,0.227272727
What are your healthcare needs?,Needs Analysis,22,0,0.0
Are you able to make your own health care decisions?,Needs Analysis,19,9,0.473684211
"Do you have any military benefits like VA, TRICARE, or CHAMPVA?",Needs Analysis,18,12,0.666666667
Do you have any current healthcare coverage?,Needs Analysis,18,0,0.0
How often do you visit the doctor?,Needs Analysis,17,0,0.0
Are there any medications you need covered?,Needs Analysis,17,0,0.0
Do you have someone who helps make your health care decisions?,Needs Analysis,16,6,0.375
Are you taking any prescription medications?,Needs Analysis,14,10,0.714285714
Are you currently taking any medications?,Needs Analysis,13,8,0.615384615
How often do you visit your doctor?,Needs Analysis,13,0,0.0
Do you have any current healthcare needs?,Needs Analysis,13,0,0.0
What specific healthcare needs do you have?,Needs Analysis,12,0,0.0
Are there any procedures you need covered soon?,Needs Analysis,12,0,0.0
"Do you make your own health care decisions, or does somebody else do that for you?",Needs Analysis,12,0,0.0
Do you have any chronic conditions?,Needs Analysis,11,3,0.272727273
Are there any particular benefits you are looking for?,Needs Analysis,11,0,0.0
Do you have any military benefits like the VA or TRICARE?,Needs Analysis,10,6,0.6
What is your ZIP code?,Needs Analysis,10,5,0.5
What benefit do you use the most?,Needs Analysis,10,4,0.4
Are we looking at benefits for only you today or for maybe another friend or family as well?,Needs Analysis,10,2,0.2
Are there specific benefits you are looking for?,Needs Analysis,10,0,0.0
Are there any particular services you need covered?,Needs Analysis,10,0,0.0
Do you have a primary doctor that you like?,Needs Analysis,8,8,1.0
"Do you currently reside in a nursing home, assistant living, or long term care facility?",Needs Analysis,8,7,0.875
Do you need dental work?,Needs Analysis,8,7,0.875
"Do you currently reside in a nursing home, assisted living, or a long term care facility?",Needs Analysis,8,5,0.625
"Do you have any coverage through an employer, union, TRICARE, or the VA?",Needs Analysis,8,5,0.625
"Have you ever been diagnosed with any chronic conditions like diabetes, heart conditions, or COPD?",Needs Analysis,8,5,0.625
Do you need any dental work or a pair of glasses?,Needs Analysis,8,5,0.625
Do you have a primary care physician?,Needs Analysis,8,4,0.5
What benefits do you use the most?,Needs Analysis,8,3,0.375
Do you or a spouse receive any medical benefits from an employer or union?,Needs Analysis,8,3,0.375
What pharmacy do you go to?,Needs Analysis,7,7,1.0
